acc_scores,f1_scores,fold_number,dataset_name,classes,dataset_len,percent_labeled_samples,exec_time_secs_9_runs
0.7139507620164126,0.7162790697674419,3,Rotten_Tomatoes_Train,2,8530,0.7,33.5540509223938
0.7256740914419695,0.7313432835820894,4,Rotten_Tomatoes_Train,2,8530,0.7,33.5540509223938
0.7151230949589683,0.7157894736842105,0,Rotten_Tomatoes_Train,2,8530,0.8,33.5540509223938
0.7362250879249707,0.7425629290617848,1,Rotten_Tomatoes_Train,2,8530,0.8,33.5540509223938
0.7409144196951934,0.7471395881006866,2,Rotten_Tomatoes_Train,2,8530,0.8,33.5540509223938
0.7221570926143025,0.7231308411214953,3,Rotten_Tomatoes_Train,2,8530,0.8,33.5540509223938
0.7368112543962485,0.7384973791496797,4,Rotten_Tomatoes_Train,2,8530,0.8,33.5540509223938
0.7262602579132473,0.7273788674839464,0,Rotten_Tomatoes_Train,2,8530,0.9,33.5540509223938
0.738569753810082,0.7468785471055619,1,Rotten_Tomatoes_Train,2,8530,0.9,33.5540509223938
0.7497069167643611,0.7530364372469636,2,Rotten_Tomatoes_Train,2,8530,0.9,33.5540509223938
0.7250879249706916,0.7271669575334497,3,Rotten_Tomatoes_Train,2,8530,0.9,33.5540509223938
0.7373974208675264,0.7401392111368909,4,Rotten_Tomatoes_Train,2,8530,0.9,33.5540509223938
0.7309495896834701,0.7317358270017534,0,Rotten_Tomatoes_Train,2,8530,1.0,33.5540509223938
0.746189917936694,0.7510063254744107,1,Rotten_Tomatoes_Train,2,8530,1.0,33.5540509223938
0.7532239155920282,0.7562246670526925,2,Rotten_Tomatoes_Train,2,8530,1.0,33.5540509223938
0.7303634232121923,0.7309941520467836,3,Rotten_Tomatoes_Train,2,8530,1.0,33.5540509223938
0.7397420867526378,0.7430555555555556,4,Rotten_Tomatoes_Train,2,8530,1.0,33.5540509223938
0.6973273942093541,0.7238740264138164,0,SST2_Train,2,67349,0.1,339.6610326766968
0.6974016332590943,0.7223054912113366,1,SST2_Train,2,67349,0.1,339.6610326766968
0.6990348923533779,0.7247793618465715,2,SST2_Train,2,67349,0.1,339.6610326766968
0.697253155159614,0.7275157022584526,3,SST2_Train,2,67349,0.1,339.6610326766968
0.7070309599821814,0.7353454057679409,4,SST2_Train,2,67349,0.1,339.6610326766968
0.7696362286562732,0.7894701133048374,0,SST2_Train,2,67349,0.2,339.6610326766968
0.7632516703786192,0.7841332160021661,1,SST2_Train,2,67349,0.2,339.6610326766968
0.7621380846325168,0.784503631961259,2,SST2_Train,2,67349,0.2,339.6610326766968
0.7680029695619897,0.7900288920244576,3,SST2_Train,2,67349,0.2,339.6610326766968
0.7708812829460242,0.7919644060941081,4,SST2_Train,2,67349,0.2,339.6610326766968
0.8098737936154418,0.824360469103628,0,SST2_Train,2,67349,0.3,339.6610326766968
0.8026726057906459,0.8196988196988196,1,SST2_Train,2,67349,0.3,339.6610326766968
0.8062360801781737,0.8228346456692913,2,SST2_Train,2,67349,0.3,339.6610326766968
0.8063103192279139,0.8231546126211619,3,SST2_Train,2,67349,0.3,339.6610326766968
0.8059989605761378,0.8232429141581546,4,SST2_Train,2,67349,0.3,339.6610326766968
0.8303637713437269,0.8448217317487268,0,SST2_Train,2,67349,0.4,339.6610326766968
0.8219747587230883,0.8377317634321287,1,SST2_Train,2,67349,0.4,339.6610326766968
0.8260579064587973,0.841635687732342,2,SST2_Train,2,67349,0.4,339.6610326766968
0.8264291017074982,0.842346594740391,3,SST2_Train,2,67349,0.4,339.6610326766968
0.8288662855445839,0.843929853070621,4,SST2_Train,2,67349,0.4,339.6610326766968
0.8481069042316258,0.8603031544448996,0,SST2_Train,2,67349,0.5,339.6610326766968
0.8403860430586488,0.8545134659629179,1,SST2_Train,2,67349,0.5,339.6610326766968
0.8441722345953971,0.8577431379193493,2,SST2_Train,2,67349,0.5,339.6610326766968
0.8403860430586488,0.8541779706999457,3,SST2_Train,2,67349,0.5,339.6610326766968
0.8452743336550598,0.8585776330076004,4,SST2_Train,2,67349,0.5,339.6610326766968
0.8541202672605791,0.8658061872567097,0,SST2_Train,2,67349,0.6,339.6610326766968
0.851373422420193,0.8642895878524945,1,SST2_Train,2,67349,0.6,339.6610326766968
0.8508537490720118,0.8635653650254669,2,SST2_Train,2,67349,0.6,339.6610326766968
0.8547884187082405,0.8673718470301058,3,SST2_Train,2,67349,0.6,339.6610326766968
0.8547776375380504,0.8672638436482085,4,SST2_Train,2,67349,0.6,339.6610326766968
0.8630289532293987,0.8744470908472269,0,SST2_Train,2,67349,0.7,339.6610326766968
0.8591685226429102,0.871659562952439,1,SST2_Train,2,67349,0.7,339.6610326766968
0.8602078693392724,0.8716690520002726,2,SST2_Train,2,67349,0.7,339.6610326766968
0.8600593912397921,0.8717948717948718,3,SST2_Train,2,67349,0.7,339.6610326766968
0.863093028435667,0.8747622928552024,4,SST2_Train,2,67349,0.7,339.6610326766968
0.8697847067557535,0.880745172695132,0,SST2_Train,2,67349,0.8,339.6610326766968
0.8644394951744617,0.8762033898305085,1,SST2_Train,2,67349,0.8,339.6610326766968
0.8661469933184855,0.8778538039428224,2,SST2_Train,2,67349,0.8,339.6610326766968
0.8682999257609503,0.8797777175386283,3,SST2_Train,2,67349,0.8,339.6610326766968
0.8673249684460613,0.8787076630693001,4,SST2_Train,2,67349,0.8,339.6610326766968
0.8741648106904232,0.8847957588527152,0,SST2_Train,2,67349,0.9,339.6610326766968
0.8696362286562732,0.8811264554562686,1,SST2_Train,2,67349,0.9,339.6610326766968
0.870898292501856,0.882237421277172,2,SST2_Train,2,67349,0.9,339.6610326766968
0.8730512249443207,0.8844438437626707,3,SST2_Train,2,67349,0.9,339.6610326766968
0.8728933105650011,0.8837272480304265,4,SST2_Train,2,67349,0.9,339.6610326766968
0.8780252412769116,0.8881628207746238,0,SST2_Train,2,67349,1.0,339.6610326766968
0.8748329621380846,0.8857878336268799,1,SST2_Train,2,67349,1.0,339.6610326766968
0.8760950259836674,0.8869777205932146,2,SST2_Train,2,67349,1.0,339.6610326766968
0.877728285077951,0.8887237348827782,3,SST2_Train,2,67349,1.0,339.6610326766968
0.8769025168906378,0.8874558783600326,4,SST2_Train,2,67349,1.0,339.6610326766968
0.6691109074243813,0.6756693397923056,0,TREC_Train,6,5452,0.1,212.1448483467102
0.6434463794683777,0.6519783574752911,1,TREC_Train,6,5452,0.1,212.1448483467102
0.6082568807339449,0.6178526727110528,2,TREC_Train,6,5452,0.1,212.1448483467102
0.6697247706422018,0.6753792561808653,3,TREC_Train,6,5452,0.1,212.1448483467102
0.6568807339449542,0.6618415581203484,4,TREC_Train,6,5452,0.1,212.1448483467102
0.7277726856095326,0.7330040282969832,0,TREC_Train,6,5452,0.2,212.1448483467102
0.6975252062328139,0.7041944002413628,1,TREC_Train,6,5452,0.2,212.1448483467102
0.6926605504587156,0.697694236465803,2,TREC_Train,6,5452,0.2,212.1448483467102
0.6990825688073394,0.7030439396958112,3,TREC_Train,6,5452,0.2,212.1448483467102
0.6844036697247706,0.6888905860833568,4,TREC_Train,6,5452,0.2,212.1448483467102
0.7286892758936755,0.7317392076150997,0,TREC_Train,6,5452,0.3,212.1448483467102
0.7176901924839597,0.7216434800586159,1,TREC_Train,6,5452,0.3,212.1448483467102
